order_id,payment_sequential,payment_type,payment_installments,payment_value
ORDR73017,1,credit_card,8,99.33
ORDR95213,1,credit_card,1,24.39
ORDR42615,1,credit_card,1,65.71
ORDR62977,1,credit_card,8,107.78
ORDR12346,1,credit_card,2,128.45
ORDR09167,1,credit_card,2,96.12
ORDR75660,1,credit_card,1,81.16
ORDR55489,1,credit_card,3,51.84
ORDR87450,1,credit_card,6,341.09
ORDR25280,1,UPI,1,51.95
ORDR40960,1,credit_card,8,188.73
ORDR49615,1,credit_card,1,141.9
ORDR53025,1,credit_card,1,75.78
ORDR15153,1,credit_card,5,102.66
ORDR21010,1,credit_card,4,105.28
ORDR16212,1,credit_card,10,157.45
ORDR07628,1,credit_card,1,132.04
ORDR09977,1,credit_card,1,98.94
ORDR54504,1,credit_card,4,244.15
ORDR31942,1,credit_card,3,136.71
ORDR87097,1,credit_card,4,47.69
ORDR73885,1,credit_card,2,170.57
ORDR83046,1,credit_card,4,67.5
ORDR77654,1,credit_card,10,353.09
ORDR47552,1,UPI,1,330.66
ORDR53843,2,voucher,1,45.17
ORDR24127,1,credit_card,2,541.0
ORDR72172,1,credit_card,2,139.22
5d9c5817e278892b7498d90bfa28ade8,1,credit_card,2,290.16
ORDR04053,1,UPI,1,283.34
ORDR62456,1,credit_card,1,13.78
ORDR73687,1,credit_card,1,30.28
ORDR01202,1,credit_card,1,26.58
ORDR64606,1,credit_card,1,89.68
ORDR44502,1,credit_card,1,65.09
ORDR80630,1,credit_card,1,173.84
ORDR94643,1,credit_card,1,103.49
ORDR48626,1,credit_card,1,64.03
ORDR82719,1,credit_card,3,157.15
ORDR95076,1,UPI,1,130.88
ORDR31216,1,credit_card,2,47.72
ORDR87805,1,credit_card,8,117.74
ORDR89124,1,UPI,1,56.6
ORDR65286,1,credit_card,1,266.16
ORDR49513,1,UPI,1,31.38
ORDR78876,1,credit_card,1,121.49
ORDR31754,1,credit_card,1,32.0
afef48d3c8a0b1b7c9b7f8f922fb5674,1,credit_card,5,153.41
ORDR43317,1,credit_card,5,65.71
ORDR07491,1,credit_card,4,278.22
ORDR62958,1,credit_card,4,91.66
ORDR69843,1,credit_card,1,132.51
ORDR51866,1,credit_card,4,542.66
ORDR08712,1,UPI,1,166.04
ORDR79147,1,UPI,1,368.98
ORDR74927,1,credit_card,2,113.2
ORDR07449,1,credit_card,3,99.43
ORDR08498,1,credit_card,2,27.35
ORDR05639,1,credit_card,4,43.77
ORDR61939,1,credit_card,2,68.49
ORDR78582,1,credit_card,2,105.53
ORDR95947,1,credit_card,8,387.8
ORDR14017,1,UPI,1,84.14
c108072ab31ec90a754129c171577f5f,1,credit_card,4,210.82
ORDR39144,1,UPI,1,90.05
ORDR35565,1,credit_card,1,67.88
ORDR33141,1,credit_card,2,37.58
ORDR90878,1,UPI,1,89.63
947e9c6bfd83a06953c420ef92d3da6e,1,voucher,1,69.46
ORDR88057,1,credit_card,2,78.3
ORDR39371,1,voucher,1,50.8
ORDR22980,1,credit_card,1,34.0
ORDR18428,1,UPI,1,77.1
ORDR76342,1,credit_card,5,566.4
ORDR71516,1,credit_card,8,402.42
ORDR68468,2,voucher,1,57.53
ORDR95510,1,credit_card,3,44.01
ORDR72800,1,credit_card,3,187.51
ORDR15705,1,credit_card,3,77.7
ORDR43795,1,credit_card,1,48.68
ORDR54872,1,credit_card,1,77.29
ORDR44178,1,credit_card,8,117.71
ORDR89186,1,credit_card,3,169.34
ORDR74665,1,credit_card,1,37.61
ORDR14882,1,credit_card,1,13.8
ORDR18608,1,debit_card,1,227.12
ORDR25755,1,credit_card,3,34.78
ORDR26623,1,credit_card,10,342.56
ORDR23823,1,credit_card,7,73.34
ORDR90097,1,credit_card,4,117.85
ORDR78565,1,credit_card,1,48.62
ORDR18905,1,credit_card,1,53.99
ORDR42779,1,credit_card,1,51.14
ORDR49813,1,credit_card,2,121.45
ORDR32150,1,credit_card,1,73.34
ORDR79789,1,credit_card,10,117.68
ORDR80471,1,credit_card,1,56.77
ORDR08894,1,credit_card,2,115.59
ORDR58036,1,credit_card,6,60.07
ORDR26641,1,credit_card,1,27.27
ORDR04593,1,UPI,1,32.15
ORDR03753,1,credit_card,3,195.71
ORDR77839,2,voucher,1,43.12
ORDR53140,1,credit_card,1,88.49
ORDR76306,1,credit_card,3,34.09
ORDR44342,1,credit_card,1,40.99
ORDR63960,1,credit_card,3,71.99
ORDR71034,1,UPI,1,47.0
ORDR69631,1,credit_card,3,81.78
ORDR04182,1,credit_card,3,231.45
ORDR89219,1,credit_card,7,144.2
ORDR24748,1,debit_card,1,35.14
ORDR48995,1,credit_card,10,285.79
ORDR43617,1,credit_card,2,176.7
f090de1b2ed9f4e251662cb31e3c7127,1,credit_card,2,27.63
ORDR11331,1,credit_card,8,134.56
ORDR65434,1,credit_card,4,96.98
ORDR66423,1,credit_card,2,110.03
ORDR75396,1,credit_card,1,17.78
ORDR25599,1,credit_card,1,44.0
ORDR74838,1,credit_card,4,110.11
ORDR02747,4,voucher,1,22.49
ORDR75273,1,credit_card,4,46.63
ORDR57914,1,UPI,1,52.21
ORDR19077,1,credit_card,2,61.77
ORDR17974,1,UPI,1,121.88
ORDR48887,1,credit_card,1,75.75
ORDR16009,1,credit_card,1,130.22
ORDR24912,1,credit_card,3,57.53
ORDR19133,1,credit_card,7,76.02
ORDR49589,1,UPI,1,90.17
ORDR64565,1,credit_card,1,31.0
ORDR91347,1,credit_card,10,106.77
ORDR23552,1,voucher,1,163.25
ORDR03020,1,UPI,1,233.66
ORDR29160,1,credit_card,1,163.08
ORDR74131,1,credit_card,4,135.93
ORDR35396,1,credit_card,1,267.05
ORDR47306,1,credit_card,7,186.72
ORDR51109,2,voucher,1,30.0
ORDR41485,1,credit_card,4,97.28
ORDR79755,1,credit_card,1,48.61
ORDR45855,1,UPI,1,116.7
ORDR20231,1,credit_card,1,41.42
ORDR63024,1,UPI,1,42.19
ORDR62446,1,credit_card,6,125.53
ORDR88444,1,credit_card,5,92.76
ORDR82426,1,credit_card,8,348.02
ORDR57040,1,credit_card,2,203.3
ORDR94629,1,credit_card,3,44.35
ORDR82113,1,credit_card,10,116.05
ORDR67371,1,UPI,1,85.14
ORDR06356,1,credit_card,4,236.66
ORDR29487,1,credit_card,4,220.3
ORDR90845,1,credit_card,1,180.55
ORDR90490,1,UPI,1,45.46
ORDR44004,1,UPI,1,26.08
ORDR57567,1,credit_card,1,375.74
ORDR12527,1,credit_card,5,123.41
ORDR12696,1,credit_card,10,379.07
ORDR36811,1,credit_card,10,2027.16
ORDR95739,1,credit_card,1,45.5
ORDR64699,1,credit_card,1,91.17
ORDR45063,1,UPI,1,93.26
ORDR03898,2,voucher,1,30.0
ORDR57209,1,credit_card,10,165.96
ORDR89679,2,voucher,1,50.0
ORDR93799,1,credit_card,10,1002.73
ORDR85965,1,UPI,1,116.56
ORDR63831,1,credit_card,2,240.52
ORDR03520,1,credit_card,3,33.13
ORDR39403,1,credit_card,1,213.9
ORDR02707,1,credit_card,8,362.17
ORDR30735,1,credit_card,2,88.72
ORDR84781,1,credit_card,2,46.85
ORDR26100,1,UPI,1,68.54
ORDR35847,1,UPI,1,32.62
ORDR01242,1,credit_card,8,340.08
ORDR55267,1,UPI,1,82.06
ORDR34178,1,credit_card,1,40.95
ORDR11739,1,credit_card,3,67.01
ORDR82148,5,voucher,1,20.0
ORDR50823,2,voucher,1,76.9
ORDR34376,1,credit_card,4,40.27
ORDR10923,1,credit_card,8,242.1
ORDR80429,1,UPI,1,207.24
ORDR45270,1,credit_card,2,215.56
ORDR43438,1,credit_card,1,39.92
ORDR88265,1,credit_card,8,156.09
ORDR28133,1,credit_card,2,131.5
ORDR77031,1,UPI,1,137.73
ORDR04101,1,credit_card,1,31.75
ORDR94384,1,credit_card,8,348.77
c79bdf061e22288609201ec60deb42fb,1,credit_card,1,12.22
ORDR56737,1,credit_card,4,139.87
ORDR40135,1,credit_card,12,257.1
ORDR26274,1,credit_card,3,269.46
ORDR08102,1,credit_card,1,40.0
ORDR50619,1,credit_card,10,350.09
ORDR11598,2,credit_card,6,134.55
ORDR73840,1,credit_card,3,112.73
ORDR82539,1,UPI,1,72.05
ORDR69674,1,credit_card,1,0.67
ORDR81721,1,credit_card,2,77.77
ORDR61785,1,credit_card,2,26.68
ORDR36616,1,credit_card,1,371.42
ORDR09997,1,credit_card,6,225.71
ORDR54927,1,credit_card,3,103.79
ORDR11101,1,UPI,1,65.0
ORDR85596,2,voucher,1,69.8
ORDR94649,2,voucher,1,20.09
ORDR50697,1,credit_card,1,125.41
ORDR87327,1,UPI,1,95.99
ORDR78481,1,credit_card,2,25.33
ORDR40817,1,credit_card,1,52.57
ORDR58933,1,credit_card,2,145.58
ORDR62009,1,credit_card,3,49.7
ORDR19866,1,credit_card,1,47.43
ORDR53537,1,credit_card,2,168.57
ORDR90538,1,credit_card,1,133.81
ORDR53369,2,voucher,1,1.23
ORDR62255,1,UPI,1,123.82
ORDR70789,1,credit_card,3,283.66
ORDR39939,1,credit_card,1,89.88
ORDR63218,1,UPI,1,32.38
ORDR40486,1,credit_card,1,43.08
ORDR03952,1,credit_card,1,254.58
ORDR00309,2,voucher,1,48.91
ORDR13725,1,credit_card,4,48.22
ORDR44133,1,credit_card,6,67.58
ORDR87390,1,credit_card,10,311.18
ORDR01551,1,credit_card,4,154.14
ORDR78318,1,credit_card,2,333.68
ORDR44937,1,UPI,1,404.88
ORDR24652,1,UPI,1,44.77
