product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_name
PRD00001,Perfumery,40,287,1,225,16,10,14,Eco Aroma Mist
PRD00002,Art,44,276,1,1000,30,18,20,Classic Acrylic Art Set
PRD00003,Sports_Leisure,46,250,1,154,18,9,15,Heavy-Duty Yoga Mat
PRD00004,Baby,27,261,1,371,26,4,26,Advanced Baby Blanket
PRD00005,Housewares,37,402,4,625,20,17,13,Classic Kitchen Organizer
PRD00006,Musical_Instruments,60,745,1,200,38,5,11,Elegant Violin
PRD00007,Cool_Stuff,56,1272,4,18350,70,24,44,Ultra LED String Light
PRD00008,Furniture_Decor,56,184,2,900,40,8,40,Soft Floor Lamp
PRD00009,Home_Appliances,57,163,1,400,27,13,17,Pro Electric Kettle
PRD00010,Toys,36,1156,1,600,17,10,12,Heavy-Duty Race Car Set
PRD00011,Bed_Bath_Table,54,630,1,1100,16,10,16,Classic Table Runner
PRD00012,Baby,49,728,4,7150,50,19,45,Smart Baby Pillow
PRD00013,Musical_Instruments,43,1827,3,250,17,7,17,Ergonomic Digital Keyboard
PRD00014,Furniture_Decor,51,2083,2,600,68,11,13,Ergonomic Side Table
PRD00015,Construction_Tools_Safety,59,1602,4,200,17,7,17,Fresh Drill Bit Set
PRD00016,Sports_Leisure,22,3021,1,800,16,2,11,Pro Yoga Mat
PRD00017,Perfumery,39,346,2,400,27,5,20,Heavy-Duty Eau De Parfum
PRD00018,Computers_Accessories,59,636,1,900,40,15,20,Deluxe Keyboard
PRD00019,Furniture_Decor,56,296,2,1700,100,7,15,Eco Floor Lamp
PRD00020,Bed_Bath_Table,52,206,1,500,16,10,16,Smart Comforter
PRD00021,Furniture_Decor,27,158,4,2550,29,24,45,Deluxe Storage Cabinet
PRD00022,Bed_Bath_Table,27,329,2,800,36,8,16,Modern Comforter
PRD00023,Health_Beauty,58,1987,3,75,21,7,13,Ergonomic Face Cream
PRD00024,Baby,55,1627,1,500,20,13,13,Elegant Baby Pillow
PRD00025,Furniture_Decor,56,209,1,1800,40,10,30,Smart Bookshelf
PRD00026,Housewares,52,968,1,900,50,5,50,Ultra Kitchen Organizer
PRD00027,Luggage_Accessories,52,573,5,3600,35,25,50,Classic Luggage Tag Set
PRD00028,Computers_Accessories,35,1101,2,300,42,2,30,Elegant Webcam
PRD00029,Computers_Accessories,59,1890,2,740,23,13,13,Heavy-Duty Laptop Stand
PRD00030,Sports_Leisure,50,529,2,3600,62,23,23,Essential Skipping Rope
PRD00031,Bed_Bath_Table,45,206,1,650,16,10,16,Ergonomic Table Runner
PRD00032,Garden_Tools,49,1163,9,2150,70,8,34,Advanced Plant Pot
PRD00033,Furniture_Decor,60,208,1,800,40,10,34,Pro Bookshelf
PRD00034,Office_Furniture,57,476,1,8950,52,51,17,Pro Office Desk
PRD00035,Sports_Leisure,50,699,4,1388,34,9,31,Ergonomic Yoga Mat
PRD00036,Baby,52,708,9,7950,33,30,44,Lightweight Cotton Bib Set
PRD00037,Auto,43,1062,2,6000,87,3,42,Essential Dashboard Cleaner
PRD00038,Electronics,31,806,1,263,18,12,16,Deluxe Over-Ear Headphones
PRD00039,Housewares,37,352,1,3900,19,20,15,Ultra Kitchen Organizer
PRD00040,Furniture_Decor,47,502,1,600,25,25,25,Lightweight Side Table
PRD00041,Furniture_Decor,63,254,2,2050,49,13,41,Modern Floor Lamp
PRD00042,Toys,33,471,2,725,22,17,15,Eco Action Figure
PRD00043,Bed_Bath_Table,56,509,4,6350,45,15,35,Soft Table Runner
PRD00044,Baby,47,980,4,600,70,11,11,Ultra Baby Blanket
PRD00045,Cool_Stuff,38,1701,2,11750,18,40,79,Ergonomic Flip Clock
PRD00046,Toys,20,866,3,2550,22,32,38,Essential Action Figure
PRD00047,Cool_Stuff,38,1176,3,15350,47,40,47,Wireless Smart Keychain
PRD00048,Furniture_Decor,42,303,2,1300,25,16,25,Ergonomic Floor Lamp
PRD00049,Furniture_Decor,60,1972,2,850,69,11,11,Ultra Floor Lamp
PRD00050,Health_Beauty,60,330,1,1300,19,28,17,Compact Face Cream
PRD00051,Sports_Leisure,53,3218,5,4800,60,30,15,Ultra Skipping Rope
PRD00052,Cool_Stuff,55,410,2,1300,36,16,24,Deluxe LED String Light
PRD00053,Auto,57,311,1,220,18,14,17,Sturdy Tyre Inflator
PRD00054,Baby,50,509,4,5700,41,17,49,Fresh Cotton Bib Set
PRD00055,Luggage_Accessories,53,1291,2,450,20,40,30,Premium Packing Cube Set
PRD00056,Fashion_Shoes,60,402,2,2000,32,12,37,Advanced Formal Leather Shoes
PRD00057,Telephony,51,427,2,100,19,3,11,Wireless Telephony Pack
