seller_id,seller_zip_code_prefix,seller_city,seller_state
SLR00001,13023,Alwal,Andhra Pradesh
SLR00002,13023,Alwal,Andhra Pradesh
SLR00003,20031,Badepalle,Andhra Pradesh
SLR00004,4195,Akkarampalle,Andhra Pradesh
SLR00005,12914,Koratla,Andhra Pradesh
SLR00006,20920,Badepalle,Andhra Pradesh
SLR00007,20920,Badepalle,Andhra Pradesh
SLR00008,16304,Vitthal Udyognagar INA,Gujarat
SLR00009,1529,Akkarampalle,Andhra Pradesh
SLR00010,80310,Anakapalle,Andhra Pradesh
SLR00011,75110,Gaurella,Chhattisgarh
SLR00012,13530,Peralasseri,Kerala
SLR00013,1222,Akkarampalle,Andhra Pradesh
SLR00014,5372,Akkarampalle,Andhra Pradesh
SLR00015,88705,Kandla,Gujarat
SLR00016,42738,Sarkhej-Okaf,Gujarat
SLR00017,88780,Konnur,Karnataka
SLR00018,70740,Eddumailaram,Andhra Pradesh
SLR00019,45810,Dharamjaigarh,Chhattisgarh
SLR00020,5138,Akkarampalle,Andhra Pradesh
SLR00021,11440,Machilipatnam,Andhra Pradesh
SLR00022,14910,Gho Manhasan,Jammu & Kashmir
SLR00023,4156,Akkarampalle,Andhra Pradesh
SLR00024,13320,Farooqnagar,Andhra Pradesh
SLR00025,98910,Kosamba,Gujarat
SLR00026,30494,Anantapur,Andhra Pradesh
SLR00027,86707,Renigunta,Andhra Pradesh
SLR00028,9850,Adoni,Andhra Pradesh
SLR00029,4857,Akkarampalle,Andhra Pradesh
SLR00030,18500,Bawani Khera,Haryana
SLR00031,80210,Anakapalle,Andhra Pradesh
SLR00032,2261,Akkarampalle,Andhra Pradesh
SLR00033,88495,Harpanahalli,Karnataka
SLR00034,3562,Akkarampalle,Andhra Pradesh
SLR00035,37650,Barshi,Maharashtra
SLR00036,17602,Mancherial,Andhra Pradesh
SLR00037,7241,Bestavaripeta,Andhra Pradesh
SLR00038,83050,Chunchupalle,Andhra Pradesh
SLR00039,3445,Akkarampalle,Andhra Pradesh
SLR00040,4133,Akkarampalle,Andhra Pradesh
SLR00041,72233,Eddumailaram,Andhra Pradesh
SLR00042,70645,Eddumailaram,Andhra Pradesh
SLR00043,88730,Daitari,Orissa
SLR00044,88075,Chinnachowk,Andhra Pradesh
SLR00045,13416,Bellampalle,Andhra Pradesh
SLR00046,90850,Eluru,Andhra Pradesh
SLR00047,37584,Pudupalayam,Tamil Nadu
SLR00048,31950,Anantapur,Andhra Pradesh
SLR00049,31555,Anantapur,Andhra Pradesh
SLR00050,9251,Bheemavaram,Andhra Pradesh
SLR00051,4705,Akkarampalle,Andhra Pradesh
SLR00052,6144,Nagari,Andhra Pradesh
SLR00053,13270,Nagarkurnool,Andhra Pradesh
SLR00054,89214,Pithora,Chhattisgarh
SLR00055,11446,Machilipatnam,Andhra Pradesh
SLR00056,28990,Ziro,Arunachal Pradesh
SLR00057,88390,Guruvayoor,Kerala
SLR00058,25730,Ponnur,Andhra Pradesh
SLR00059,95500,Sirsilla,Andhra Pradesh
SLR00060,84010,Champa,Chhattisgarh
SLR00061,6544,Khajoori Khas,Delhi
SLR00062,9121,Bheemavaram,Andhra Pradesh
SLR00063,13568,Guntur,Andhra Pradesh
